BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AS OF FINAL ROLL 18/19,BLOCK,LOT,BUILDING CLASS AS OF FINAL ROLL 18/19,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,FINAL_ADDRESS
2,28,15,8,4615,23,73,10469.0,0.0,1.0,1.0,27500.0,4615.0,1970.0,4,72,10,2019-06-04,3260 BOSTON ROAD NYC
3,10,0,0,6106,6,1,11209.0,1.0,0.0,1.0,4000.0,2816.0,1925.0,1,1,1555000,2019-10-15,9309 RIDGE BOULEVARD NYC
3,100,10,4,2530,1156,109,11222.0,1.0,0.0,1.0,0.0,0.0,2017.0,2,109,2141634,2019-10-16,"21 INDIA STREET, 33B NYC"
4,12,0,0,6245,33,1,11361.0,1.0,0.0,1.0,3325.0,1608.0,1930.0,1,1,820000,2019-11-07,38-35 215TH PLACE NYC
4,92,1,0,3893,31,11,11375.0,2.0,0.0,2.0,2367.0,1246.0,1930.0,1,11,765000,2019-10-28,89-03 70 AVENUE NYC
3,243,1,0,878,8,9,11218.0,2.0,0.0,2.0,1600.0,1716.0,1905.0,1,9,2175000,2019-09-12,574 17TH STREET NYC
3,201,12,7,7397,1105,106,11229.0,1.0,0.0,1.0,0.0,0.0,1976.0,2,106,324480,2019-08-20,"2362 EAST 13TH ST, 2B NYC"
3,76,6,4,5086,32,14,11226.0,16.0,0.0,16.0,5620.0,14000.0,1914.0,2,14,5350000,2019-06-06,"50 LINDEN BOULEVARD, 16 NYC"
5,2,4,0,6249,650,10,10312.0,2.0,0.0,2.0,4736.0,0.0,2019.0,1,131,986684,2019-09-26,17 HODA PLACE NYC
4,189,1,0,3623,16,10,11385.0,2.0,0.0,2.0,2742.0,1760.0,1910.0,1,10,650000,2019-02-11,67-01 64TH PLACE NYC
3,46,9,4,295,1107,109,11201.0,1.0,0.0,1.0,0.0,0.0,2018.0,2,107,2300000,2019-04-25,"78 AMITY STREET, 2B NYC"
4,211,0,0,12683,83,2,11413.0,1.0,0.0,1.0,3610.0,1260.0,1945.0,1,2,439000,2019-11-21,121-25 197TH STREET NYC
5,219,0,0,504,81,5,10301.0,1.0,0.0,1.0,3005.0,1176.0,2001.0,1,5,465000,2019-09-19,15 MARGO LOOP NYC
3,139,13,7,8540,1009,113,11234.0,1.0,0.0,1.0,0.0,0.0,2017.0,2,113,490000,2019-04-11,"2155 KIMBALL STREET, P3 NYC"
1,1,2,0,377,56,13,10009.0,3.0,0.0,3.0,2430.0,3600.0,1899.0,1,13,6300000,2019-04-30,263 EAST 7TH STREET NYC
4,92,0,0,3824,6,5,11385.0,1.0,0.0,1.0,2000.0,1305.0,1925.0,1,5,610000,2019-11-27,78-12 75TH STREET NYC
4,211,1,0,12664,75,11,11412.0,2.0,0.0,2.0,2600.0,1248.0,1930.0,1,11,749000,2019-11-22,188-13 120TH ROAD NYC
4,84,10,4,5020,1120,109,11354.0,1.0,0.0,1.0,0.0,0.0,2001.0,2,109,660000,2019-02-19,"142-18 38TH AVENUE, 5-B NYC"
5,235,0,0,482,35,1,10314.0,1.0,0.0,1.0,4825.0,2140.0,1950.0,1,1,590000,2019-12-17,400 COLLFIELD AVENUE NYC
3,167,0,0,3665,19,125,11207.0,1.0,1.0,2.0,2500.0,2160.0,1901.0,1,125,445000,2019-05-15,16 WILLIAMS AVENUE NYC
4,12,0,0,6060,56,1,11361.0,1.0,0.0,1.0,6000.0,1740.0,1920.0,1,1,980000,2019-04-17,21015 33RD AVENUE NYC
3,100,10,4,2530,1111,109,11222.0,1.0,0.0,1.0,0.0,0.0,2017.0,2,109,1155714,2019-04-15,"21 INDIA STREET, 28G NYC"
2,41,0,0,5648,61,2,10464.0,1.0,0.0,1.0,2500.0,740.0,1925.0,1,2,210000,2019-03-22,670 MINNIEFORD AVENUE NYC
4,208,1,0,11688,10,9,11420.0,2.0,0.0,2.0,4200.0,3300.0,1940.0,1,9,945622,2019-03-05,116-14 133RD STREET NYC
4,129,1,0,13181,52,11,11422.0,2.0,0.0,2.0,3142.0,1428.0,1925.0,1,11,332500,2019-12-24,138-30 233RD STREET NYC
1,223,10,4,1416,1026,109,10065.0,1.0,0.0,1.0,0.0,0.0,1967.0,2,109,1895000,2019-11-26,"200 EAST 62ND STREET, 7E NYC"
1,39,10,4,691,1117,109,10011.0,1.0,0.0,1.0,0.0,0.0,2013.0,2,109,4300000,2019-05-06,"505 WEST 19TH STREET, 4A NYC"
4,186,0,0,9554,40,1,11419.0,1.0,0.0,1.0,1848.0,1362.0,1920.0,1,1,630000,2019-10-08,103-33 116TH STREET NYC
2,11,1,0,4723,53,12,10469.0,2.0,0.0,2.0,2910.0,2176.0,1960.0,1,12,699000,2019-10-15,3464 EASTCHESTER ROAD NYC
4,208,0,0,11599,13,1,11420.0,1.0,0.0,1.0,1900.0,1376.0,1930.0,1,1,550000,2019-10-31,109-12 LEFFERTS BOULEVARD NYC
