BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AS OF FINAL ROLL 18/19,BLOCK,LOT,BUILDING CLASS AS OF FINAL ROLL 18/19,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,AREA,FINAL_ADDRESS
2,HIGHBRIDGE/MORRIS HEIGHTS,03 THREE FAMILY DWELLINGS,1,2872,105,C0,1432 SHAKESPEARE AVENUE,10452.0,3.0,0.0,3.0,3645.0,4422.0,1925.0,1,C0,786500,2019-06-19,bronx,1432 SHAKESPEARE AVENUE NYC
4,ASTORIA,02 TWO FAMILY DWELLINGS,1,874,63,B2,21-13 24TH ROAD,11102.0,2.0,0.0,2.0,1360.0,800.0,1940.0,1,B2,1225000,2019-09-26,queens,21-13 24TH ROAD NYC
4,NEPONSIT,01 ONE FAMILY DWELLINGS,1,16314,15,A1,215 BEACH 149TH STREET,11694.0,1.0,0.0,1.0,4500.0,2200.0,1960.0,1,A1,999000,2019-11-07,queens,215 BEACH 149TH STREET NYC
4,LAURELTON,01 ONE FAMILY DWELLINGS,1,12938,60,A1,131-40 229TH STREET,11413.0,1.0,0.0,1.0,3200.0,1748.0,1940.0,1,A1,640000,2019-01-29,queens,131-40 229TH STREET NYC
3,OCEAN PARKWAY-SOUTH,01 ONE FAMILY DWELLINGS,1,7089,54,A1,705 AVENUE T,11223.0,1.0,0.0,1.0,2100.0,1630.0,1930.0,1,A1,1325000,2019-05-14,brooklyn,705 AVENUE T NYC
3,BUSHWICK,02 TWO FAMILY DWELLINGS,1,3402,50,B2,1059 HALSEY STREET,11207.0,2.0,0.0,2.0,2000.0,3300.0,1920.0,1,B2,980000,2019-01-15,brooklyn,1059 HALSEY STREET NYC
5,STAPLETON,01 ONE FAMILY DWELLINGS,1,541,13,S1,195 BROAD STREET,10304.0,1.0,1.0,2.0,2500.0,2900.0,1931.0,1,S1,700000,2019-05-09,statenisland,195 BROAD STREET NYC
4,MIDDLE VILLAGE,02 TWO FAMILY DWELLINGS,1,3005,3,B3,64-05 79TH STREET,11379.0,2.0,0.0,2.0,2000.0,1320.0,1930.0,1,B3,843000,2019-05-16,queens,64-05 79TH STREET NYC
5,ELTINGVILLE,01 ONE FAMILY DWELLINGS,1,5655,27,A5,16 CROSSFIELD AVENUE,10312.0,1.0,0.0,1.0,2640.0,1120.0,1995.0,1,A5,522000,2019-09-28,statenisland,16 CROSSFIELD AVENUE NYC
3,EAST NEW YORK,03 THREE FAMILY DWELLINGS,1,3973,13,C0,285 SHEPHERD AVENUE,11208.0,3.0,0.0,3.0,1950.0,2166.0,1930.0,1,C0,782500,2019-07-10,brooklyn,285 SHEPHERD AVENUE NYC
2,SOUNDVIEW,01 ONE FAMILY DWELLINGS,1,3494,55,A2,447 BEACH AVENUE,10473.0,1.0,0.0,1.0,2318.0,1770.0,1935.0,1,A2,500000,2019-12-26,bronx,447 BEACH AVENUE NYC
5,NEW DORP,01 ONE FAMILY DWELLINGS,1,4031,42,A5,89 TITUS AVENUE,10306.0,1.0,0.0,1.0,1984.0,1960.0,1990.0,1,A5,530000,2019-10-29,statenisland,89 TITUS AVENUE NYC
4,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS,1,2942,56,A5,82-52 61ST ROAD,11379.0,1.0,0.0,1.0,1620.0,1080.0,1940.0,1,A5,808000,2019-09-18,queens,82-52 61ST ROAD NYC
