BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AS OF FINAL ROLL 18/19,BLOCK,LOT,BUILDING CLASS AS OF FINAL ROLL 18/19,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,AREA,FINAL_ADDRESS,lat,lng,num_cafe_1000_meters,num_travel_agency_2000_meters,num_tourist_attraction_1000_meters,num_synagogue_3000_meters,num_real_estate_agency_1000_meters,num_shopping_mall_3000_meters
3,FLATBUSH-LEFFERTS GARDEN,01 ONE FAMILY DWELLINGS,1,5050,2,S0,625 ROGERS AVENUE,11225,1,2,3,3700,2128,1905,1,S0,1925000,2/5/2019,brooklyn,625 ROGERS AVENUE NYC,40.6563206,-73.9528586,20,3,2,8,4,2
4,HOWARD BEACH,01 ONE FAMILY DWELLINGS,1,14069,139,A1,85-11 164TH AVENUE,11414,1,0,1,4000,2192,1965,1,A1,730000,7/2/2019,queens,85-11 164TH AVENUE NYC,40.650046,-73.8447489,2,0,1,0,0,0
4,BAYSIDE,02 TWO FAMILY DWELLINGS,1,5952,20,B2,215-29 23RD ROAD,11360,2,0,2,3232,3078,1970,1,B2,800000,7/5/2019,queens,215-29 23RD ROAD NYC,40.782845,-73.774405,3,0,1,0,1,1
2,WAKEFIELD,02 TWO FAMILY DWELLINGS,1,5009,1,B3,1800 BUSSING AVENUE,10466,2,0,2,2505,2193,1930,1,B3,310000,6/14/2019,bronx,1800 BUSSING AVENUE NYC,40.8940516,-73.8487045,5,2,0,0,0,0
4,ASTORIA,03 THREE FAMILY DWELLINGS,1,759,10,C0,22-45 47TH STREET,11105,3,0,3,3000,2740,1965,1,C0,1425000,4/4/2019,queens,22-45 47TH STREET NYC,40.768648,-73.902715,20,7,2,0,4,2
3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,6320,63,B1,1137 85TH STREET,11228,2,0,2,4000,2117,1970,1,B1,1500000,4/1/2019,brooklyn,1137 85TH STREET NYC,40.6168978,-74.0165396,8,4,1,10,1,1
4,HOLLISWOOD,01 ONE FAMILY DWELLINGS,1,7271,54,A1,81-15 189TH STREET,11423,1,0,1,4000,1680,1940,1,A1,990000,1/28/2019,queens,81-15 189TH STREET NYC,40.727294,-73.778907,6,2,2,0,0,0
4,RIDGEWOOD,02 TWO FAMILY DWELLINGS,1,3493,52,B1,62-76 60TH PLACE,11385,2,0,2,2175,2160,1901,1,B1,1145000,10/25/2019,queens,62-76 60TH PLACE NYC,40.711533,-73.90346,14,2,4,0,1,0
5,BULLS HEAD,02 TWO FAMILY DWELLINGS,1,1621,43,B2,49 KINGSBRIDGE AVENUE,10314,2,0,2,2450,1326,1981,1,B2,598000,5/17/2019,statenisland,49 KINGSBRIDGE AVENUE NYC,40.6169384,-74.1650532,2,1,2,1,0,1
3,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,1,7744,39,A9,957 EAST 40TH STREET,11210,1,0,1,1800,1372,1910,1,A9,500000,5/17/2019,brooklyn,957 EAST 40TH STREET NYC,40.6318683,-73.9377158,9,1,2,9,2,2
4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,11082,72,A5,209-15 116TH ROAD,11411,1,0,1,1796,1224,1950,1,A5,350000,1/10/2019,queens,209-15 116TH ROAD NYC,40.697381,-73.743537,2,2,0,1,1,0
5,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2440,42,A5,78 MILLSTONE COURT,10314,1,0,1,1666,1350,2000,1,A5,499000,5/30/2019,statenisland,78 MILLSTONE COURT NYC,40.5752126,-74.1644598,5,0,0,0,0,0
3,GRAVESEND,01 ONE FAMILY DWELLINGS,1,6647,35,A5,1756 WEST 9TH STREET,11223,1,0,1,1700,1128,1910,1,A5,900000,12/27/2019,brooklyn,1756 WEST 9TH STREET NYC,40.6041952,-73.9821191,18,3,1,18,0,1
3,MILL BASIN,01 ONE FAMILY DWELLINGS,1,8598,48,A2,2732 EAST 66TH STREET,11234,1,0,1,4067,2792,1970,1,A2,1225000,10/11/2019,brooklyn,2732 EAST 66TH STREET NYC,40.6056848,-73.9119852,2,0,0,1,0,0
4,FLUSHING-SOUTH,01 ONE FAMILY DWELLINGS,1,6959,12,A1,71-47 171ST STREET,11365,1,0,1,4139,2510,1955,1,A1,996000,11/25/2019,queens,71-47 171ST STREET NYC,40.729263,-73.798478,6,2,1,2,2,0
3,MANHATTAN BEACH,01 ONE FAMILY DWELLINGS,1,8730,57,A1,28 EXETER STREET,11235,1,0,1,3600,1342,1940,1,A1,1385000,11/1/2019,brooklyn,28 EXETER STREET NYC,40.581198,-73.9492768,13,9,3,7,1,0
5,HUGUENOT,01 ONE FAMILY DWELLINGS,1,6335,63,A2,633 IONIA AVENUE,10312,1,0,1,4000,1975,1970,1,A2,702500,10/18/2019,statenisland,633 IONIA AVENUE NYC,40.538336,-74.19378,1,0,1,0,0,0
4,GLENDALE,01 ONE FAMILY DWELLINGS,1,3685,56,S1,69-31 MYRTLE AVENUE,11385,1,1,2,1883,1600,1915,1,S1,650000,9/6/2019,queens,69-31 MYRTLE AVENUE NYC,40.702057,-73.881697,3,0,1,0,0,0
3,WINDSOR TERRACE,14 RENTALS - 4-10 UNIT,2A,5275,53,S3,1235 PROSPECT AVENUE,11218,3,1,4,1315,3507,1931,2,S3,1750000,10/31/2019,brooklyn,1235 PROSPECT AVENUE NYC,40.6529516,-73.9758913,13,2,8,20,1,3
2,WESTCHESTER,02 TWO FAMILY DWELLINGS,1,3996,50,B1,2441 BUCK STREET,10461,2,0,2,1528,1600,1920,1,B1,350000,7/31/2019,bronx,2441 BUCK STREET NYC,40.8411954,-73.8509346,7,0,2,1,1,5
2,SOUNDVIEW,02 TWO FAMILY DWELLINGS,1,3555,45,B1,647 COMMONWEALTH AVENUE,10473,2,0,2,2500,3620,1940,1,B1,725000,4/1/2019,bronx,647 COMMONWEALTH AVENUE NYC,40.8181693,-73.8652176,4,2,1,0,0,4
3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,6268,63,B1,1333 80TH STREET,11228,2,0,2,2333,1748,1930,1,B1,1220000,2/13/2019,brooklyn,1333 80TH STREET NYC,40.6170366,-74.0093897,9,4,2,16,0,1
4,JACKSON HEIGHTS,03 THREE FAMILY DWELLINGS,1,1166,24,C0,3238 71ST STREET,11370,3,0,3,1967,2650,1965,1,C0,500000,12/27/2019,queens,3238 71ST STREET NYC,40.75544,-73.896055,9,11,4,0,1,2
3,FLATBUSH-EAST,03 THREE FAMILY DWELLINGS,1,4764,37,C0,5315 CLARENDON ROAD,11203,3,0,3,1740,2641,1970,1,C0,730000,3/27/2019,brooklyn,5315 CLARENDON ROAD NYC,40.644929,-73.9260991,7,0,1,5,0,0
4,ROSEDALE,01 ONE FAMILY DWELLINGS,1,13544,34,A1,24126 NEWHALL AVENUE,11422,1,0,1,3000,1498,1920,1,A1,410000,5/13/2019,queens,24126 NEWHALL AVENUE NYC,40.65852,-73.741435,1,1,1,0,0,0
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5772,65,A1,169-23 25TH AVENUE,11357,1,0,1,4000,1399,1940,1,A1,920000,12/23/2019,queens,169-23 25TH AVENUE NYC,40.774362,-73.794489,5,0,1,0,2,1
5,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS,1,231,12,A1,15 MANOR ROAD,10310,1,0,1,2800,1182,1935,1,A1,575000,9/19/2019,statenisland,15 MANOR ROAD NYC,40.6278028,-74.1250627,3,1,1,3,2,1
3,BERGEN BEACH,02 TWO FAMILY DWELLINGS,1,8359,20,B9,1239 EAST 72ND STREET,11234,2,0,2,2179,3191,1970,1,B9,900000,8/14/2019,brooklyn,1239 EAST 72ND STREET NYC,40.625998,-73.913095,4,1,0,5,1,0
5,PORT RICHMOND,01 ONE FAMILY DWELLINGS,1,1029,3,A1,3 PALMER AVENUE,10302,1,0,1,2500,1158,1940,1,A1,410000,5/13/2019,statenisland,3 PALMER AVENUE NYC,40.6308077,-74.131715,3,0,1,0,2,1
4,JAMAICA,01 ONE FAMILY DWELLINGS,1,9804,36,A1,170-12 90TH AVENUE,11432,1,0,1,2500,1704,1920,1,A1,750000,10/4/2019,queens,170-12 90TH AVENUE NYC,40.708669,-73.79003,10,1,3,2,2,0
3,EAST NEW YORK,02 TWO FAMILY DWELLINGS,1,3983,28,B1,304 ASHFORD ST,11207,2,0,2,945,1612,1901,1,B1,667085,7/12/2019,brooklyn,304 ASHFORD ST NYC,40.674987,-73.885605,5,1,0,0,2,1
3,MIDWOOD,03 THREE FAMILY DWELLINGS,1,6715,21,C0,1038 EAST 14TH STREET,11230,3,0,3,3333,3089,1910,1,C0,725000,12/12/2019,brooklyn,1038 EAST 14TH STREET NYC,40.6241089,-73.9623639,6,3,1,20,1,2
4,COLLEGE POINT,02 TWO FAMILY DWELLINGS,1,4130,46,B2,124-07 20TH AVENUE,11356,2,0,2,1157,1600,1925,1,B2,600000,9/13/2019,queens,124-07 20TH AVENUE NYC,40.7818353,-73.8437771,7,0,3,0,4,2
3,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,1,4771,38,B1,766 EAST 51ST STREET,11203,2,0,2,2000,2112,1930,1,B1,625000,9/26/2019,brooklyn,766 EAST 51ST STREET NYC,40.6425997,-73.9286319,4,0,2,5,0,2
4,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS,1,3033,5,A2,73-24 PENELOPE AVENUE,11379,1,0,1,3600,1304,1950,1,A2,950000,6/19/2019,queens,73-24 PENELOPE AVENUE NYC,40.7160439,-73.881376,3,0,1,1,2,2
5,ARROCHAR,01 ONE FAMILY DWELLINGS,1,3108,62,A5,167 SAND LANE,10305,1,0,1,2000,1870,2018,1,A5,595676,9/4/2019,statenisland,167 SAND LANE NYC,40.5955274,-74.0694868,0,0,2,1,0,0
5,MARINERS HARBOR,01 ONE FAMILY DWELLINGS,1,1234,57,A2,308 NETHERLAND AVENUE,10303,1,0,1,2575,750,1925,1,A2,349900,5/1/2019,statenisland,308 NETHERLAND AVENUE NYC,40.8831536,-73.9118326,15,3,7,4,2,1
4,FOREST HILLS,03 THREE FAMILY DWELLINGS,1,2186,133,C0,65-21 110TH STREET,11375,3,0,3,2700,2764,2017,1,C0,1476463,4/11/2019,queens,65-21 110TH STREET NYC,40.7317705,-73.8464042,4,3,2,3,1,2
5,SOUTH BEACH,01 ONE FAMILY DWELLINGS,1,3398,65,A5,323 QUINTARD STREET,10305,1,0,1,2500,1440,1994,1,A5,535000,9/30/2019,statenisland,323 QUINTARD STREET NYC,40.5901799,-74.0800158,2,0,3,1,0,0
5,PLEASANT PLAINS,01 ONE FAMILY DWELLINGS,1,6796,10,A5,139B SHARROTT AVENUE,10309,1,0,1,2760,1400,2002,1,A5,615000,6/27/2019,statenisland,139B SHARROTT AVENUE NYC,40.5203212,-74.212974,1,0,1,0,0,1
