BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AS OF FINAL ROLL 18/19,BLOCK,LOT,BUILDING CLASS AS OF FINAL ROLL 18/19,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,AREA,FINAL_ADDRESS
4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12584,24,B2,166-10 140 AVENUE,11434.0,2.0,0.0,2.0,2908.0,1984.0,2007.0,1,B2,735000,2019-06-20,queens,166-10 140 AVENUE NYC
3,BAY RIDGE,02 TWO FAMILY DWELLINGS,1,6007,59,B1,347 83RD STREET,11209.0,2.0,0.0,2.0,2500.0,3367.0,1915.0,1,B1,1432000,2019-10-29,brooklyn,347 83RD STREET NYC
4,EAST ELMHURST,01 ONE FAMILY DWELLINGS,1,1689,15,A1,31-14 103 ST,11369.0,1.0,0.0,1.0,2000.0,1294.0,1920.0,1,A1,915000,2019-06-21,queens,31-14 103 ST NYC
2,WESTCHESTER,02 TWO FAMILY DWELLINGS,1,3970,25,B2,2358 LYON AVENUE,10462.0,2.0,0.0,2.0,2500.0,2364.0,1901.0,1,B2,505000,2019-11-22,bronx,2358 LYON AVENUE NYC
2,SOUNDVIEW,03 THREE FAMILY DWELLINGS,1,3868,66,C0,1305 HARROD AVENUE,10472.0,3.0,0.0,3.0,1125.0,2835.0,2004.0,1,C0,460000,2019-09-09,bronx,1305 HARROD AVENUE NYC
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,55,A5,36 SEGUINE PLACE,10312.0,1.0,0.0,1.0,1471.0,1068.0,1986.0,1,A5,363000,2019-03-28,statenisland,36 SEGUINE PLACE NYC
5,SUNNYSIDE,01 ONE FAMILY DWELLINGS,1,679,42,A2,99 NORTHERN BOULEVARD,10301.0,1.0,0.0,1.0,4000.0,2036.0,1965.0,1,A2,560038,2019-07-23,statenisland,99 NORTHERN BOULEVARD NYC
4,FLUSHING-NORTH,02 TWO FAMILY DWELLINGS,1,5530,50,B1,189-32 45TH AVENUE,11358.0,2.0,0.0,2.0,3550.0,4200.0,1960.0,1,B1,1660000,2019-02-06,queens,189-32 45TH AVENUE NYC
3,MIDWOOD,01 ONE FAMILY DWELLINGS,1,6752,12,A1,1414 EAST 15TH STREET,11230.0,1.0,0.0,1.0,2000.0,1756.0,1925.0,1,A1,900000,2019-04-09,brooklyn,1414 EAST 15TH STREET NYC
4,RICHMOND HILL,01 ONE FAMILY DWELLINGS,1,9220,37,A1,112-12 MYRTLE AVENUE,11418.0,1.0,0.0,1.0,3415.0,1800.0,1925.0,1,A1,755000,2019-09-30,queens,112-12 MYRTLE AVENUE NYC
2,WAKEFIELD,01 ONE FAMILY DWELLINGS,1,5013,1,A5,4238 BRUNER AVENUE,10466.0,1.0,0.0,1.0,2500.0,992.0,1950.0,1,A5,550000,2019-11-27,bronx,4238 BRUNER AVENUE NYC
4,HILLCREST,01 ONE FAMILY DWELLINGS,1,7050,5,A1,82-11 172ND STREET,11432.0,1.0,0.0,1.0,4000.0,1294.0,1940.0,1,A1,855000,2019-08-07,queens,82-11 172ND STREET NYC
3,BRIGHTON BEACH,02 TWO FAMILY DWELLINGS,1,8719,53,B3,119 CORBIN PLACE,11235.0,2.0,0.0,2.0,1700.0,1962.0,1930.0,1,B3,875000,2019-03-05,brooklyn,119 CORBIN PLACE NYC
2,THROGS NECK,02 TWO FAMILY DWELLINGS,1,5450,63,B1,286 HOLLYWOOD AVENUE,10465.0,2.0,0.0,2.0,2708.0,1600.0,1925.0,1,B1,750000,2019-05-21,bronx,286 HOLLYWOOD AVENUE NYC
4,SO. JAMAICA-BAISLEY PARK,02 TWO FAMILY DWELLINGS,1,12365,5,B3,168-12 FOCH BOULEVARD,11434.0,2.0,0.0,2.0,2200.0,902.0,1945.0,1,B3,308105,2019-04-18,queens,168-12 FOCH BOULEVARD NYC
3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8262,25,A2,1787 ROCKAWAY PARKWAY,11236.0,1.0,0.0,1.0,2750.0,720.0,1920.0,1,A2,474000,2019-02-19,brooklyn,1787 ROCKAWAY PARKWAY NYC
4,RICHMOND HILL,02 TWO FAMILY DWELLINGS,1,9431,26,B2,101-40 114TH STREET,11419.0,2.0,0.0,2.0,1968.0,2540.0,1930.0,1,B2,860000,2019-08-22,queens,101-40 114TH STREET NYC
4,ST. ALBANS,02 TWO FAMILY DWELLINGS,1,12663,31,B2,119-48 SPRINGFIELD BLVD,11411.0,2.0,0.0,2.0,3480.0,2200.0,1965.0,1,B2,458000,2019-05-20,queens,119-48 SPRINGFIELD BLVD NYC
5,PORT RICHMOND,01 ONE FAMILY DWELLINGS,1,1029,19,A1,39 PALMER AVENUE,10302.0,1.0,0.0,1.0,3742.0,1724.0,1940.0,1,A1,499000,2019-03-01,statenisland,39 PALMER AVENUE NYC
4,ST. ALBANS,02 TWO FAMILY DWELLINGS,1,12468,64,B2,177-48 119TH ROAD,11434.0,2.0,0.0,2.0,2992.0,1932.0,2006.0,1,B2,730000,2019-07-29,queens,177-48 119TH ROAD NYC
3,BAY RIDGE,02 TWO FAMILY DWELLINGS,1,5941,73,B1,423 76TH STREET,11209.0,2.0,0.0,2.0,2000.0,2000.0,1925.0,1,B1,990000,2019-10-16,brooklyn,423 76TH STREET NYC
